761445378965266432,,None,Berlin,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761443647581777920,,None,Hessen,"RT @Schnarchomat: Wacken ist für Weicheier.

Kita Singkreis rulez!"
761443327795396608,,None,Germany,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761441077119385600,,None,,RT @dw_kultur: Wacken 2016: Unsere rasende Festival-Reporterin @die_wuensch berichtet vom ersten Tag. https://t.co/Od3E3yJITJ https://t.co/…
761439377046310912,,None,auf dem Rad unterwegs ,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761438739159711744,,None,Deutschland,RT @heuteshow: #Wacken geht los! Die #AfD jubelt: endlich eine größere Schlammschlacht als die Fraktionsbildung in BaWü.
761437762901929988,,None,Dortmund,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761436426449752065,,None,Stuttgart - Germany,Panzerballett und Feuerschwanz: 10 unglaubliche Bandnamen auf dem Wacken-Festival:  Wirft man einen Blick übe... https://t.co/ipIgdUjntq
761435942502690816,,None,Acidalia Planitia,RT @digitvde: Bei @3sat wird es am #Wochenende laut: Insgesamt fünf Konzerte vom @Wacken werden live übertragen - https://t.co/o3WaGMtIyS
761434280308436992,,None,"Viersen, Germany",RKiSH: W:O:A ist offiziell gestartet / Rettungswache Wacken komplett im Dienst https://t.co/J90Q5bKWnl
761434048199786496,,None,Munich,Panzerballett und Feuerschwanz: 10 unglaubliche Bandnamen auf dem Wacken-Festival https://t.co/2mkAuPXywb
761433142662234112,,None,"iPhone: 49.140152,9.241208","RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761427050200727557,,None,"Felsberg, Schweiz",RT @heuteshow: #Wacken geht los! Die #AfD jubelt: endlich eine größere Schlammschlacht als die Fraktionsbildung in BaWü.
761426440277680128,,None,"Felsberg, Schweiz",RT @ZDF: In 30 Minuten geht es los! 🤘 Die Kollegen von @ARTEconcertDE übertragen das Festival in #Wacken im Livestream: https://t.co/XQrF9s…
761423640764317696,,None,"Euskirchen, Germany ","RT @_Spacegeek: Sehe in #Wacken neben Deutsche auch Flaggen aus Israel, Brasilien, Peru…und viele mehr! Metal sein heißt Mensch sein! Metal…"
761421637585608705,,None,,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761419702413426688,,None,"Essen, Nordrhein-Westfalen","RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761416313621319680,,"Holstenniendorf, Deutschland",Ellerdorf ,"Es ist grade völlig still in Wacken: 
keine Musikanlage, kein Generator ist zu hören.
Ich kann so nicht wieder einschlafen!"
761415504737275905,,None,,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761398856030359555,,None,"Passau, Germany",W:O:A - Endlich wieder Wacken! https://t.co/OAFsGbU3GV #Kultur
